"date","time","year","month","day","season","time_of_day","lat","lon","swell","beaufort","id","home_screen","effort","group","species","age","count","behaviour","distance_band","shag_plumage","note","species_nice_name"
2025-07-27,10H 37M 6S,2025,7,27,"winter","morning",-46.87722,168.15792,"0-0.5","1",7,"seabirds",NA,"shag","shag_sp",NA,1,"flying_E",NA,NA,NA,"Unknown shag"
2025-07-27,10H 38M 36S,2025,7,27,"winter","morning",-46.88618,168.15056,"0-0.5","1",7,"seabirds",NA,"gull","red-billed_gull",NA,1,"flying_W",NA,NA,NA,"Red-billed gull"
2025-07-27,10H 38M 49S,2025,7,27,"winter","morning",-46.88899389,168.1472248,"0-0.5","1",NA,"effort","OFF",NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-27,15H 0M 19S,2025,7,27,"winter","afternoon",-46.88850665,168.1479843,"0-0.5","1",8,"effort","ON",NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-27,15H 2M 11S,2025,7,27,"winter","afternoon",-46.87856031,168.1585571,"0-0.5","1",8,"seabirds",NA,"gull","red-billed_gull",NA,2,"flying_S",NA,NA,NA,"Red-billed gull"
2025-07-27,15H 2M 44S,2025,7,27,"winter","afternoon",-46.87564144,168.1612888,"0-0.5","1",NA,"weather_conditions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-27,15H 2M 51S,2025,7,27,"winter","afternoon",-46.87500592,168.1618904,"0-0.5","2",NA,"weather_conditions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-27,15H 10M 18S,2025,7,27,"winter","afternoon",-46.83372803,168.19634,"0-0.5","2",NA,"weather_conditions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-27,15H 10M 58S,2025,7,27,"winter","afternoon",-46.82995135,168.1993297,"0-0.5","3",8,"seabirds",NA,"mollymawk_sooty","Thalassarche_sp","dont_know",1,"flying_E",NA,NA,NA,"Unknown (Thalassarche) mollymawk"
2025-07-27,15H 13M 30S,2025,7,27,"winter","afternoon",-46.815229,168.2106909,"0-0.5","3",8,"seabirds",NA,"mollymawk_sooty","Buller's_mollymawk","adult",1,"sitting_on_water","50-100m",NA,NA,"Buller's mollymawk"
2025-07-27,15H 15M 13S,2025,7,27,"winter","afternoon",-46.80544028,168.2184217,"0-0.5","3",8,"seabirds",NA,"shag","other","dont_know",1,"sitting_on_water","100-200m",NA,NA,"Unknown shag"
2025-07-27,15H 22M 0S,2025,7,27,"winter","afternoon",-46.7665586,168.2495469,"0-0.5","3",8,"seabirds",NA,"mollymawk_sooty","Buller's_mollymawk","adult",1,"flying_E",NA,NA,NA,"Buller's mollymawk"
2025-07-27,15H 26M 20S,2025,7,27,"winter","afternoon",-46.74192607,168.2688317,"0-0.5","3",8,"seabirds",NA,"diving_petrel","common_diving_petrel",NA,1,"flying_N",NA,NA,NA,"Common diving petrel"
2025-07-27,15H 29M 11S,2025,7,27,"winter","afternoon",-46.72559762,168.2815671,"0-0.5","3",8,"seabirds",NA,"diving_petrel","common_diving_petrel","dont_know",1,"flying_W",NA,NA,NA,"Common diving petrel"
2025-07-27,15H 30M 42S,2025,7,27,"winter","afternoon",-46.71684473,168.2884403,"0-0.5","3",8,"seabirds",NA,"mollymawk_sooty","Buller's_mollymawk",NA,1,"flying_E",NA,NA,NA,"Buller's mollymawk"
